Symbol,Chart Pattern,BullishBearish,Start,End,Industry
BBBY,Dead-cat bounce,-1,02/12/2020,02/12/2020,Retail (Special Lines)
BLDR,"Double Bottom, Eve and Adam",1,01/31/2020,02/07/2020,Retail Building Supply
CX,Triple top,-1,01/22/2020,02/11/2020,Cement and Aggregates
CHS,"Triangle, symmetrical",1,01/03/2020,02/11/2020,Apparel
CW,"Roof, inverted",-1,01/16/2020,02/13/2020,Machinery
FLEX,Diamond top,-1,01/17/2020,02/13/2020,Electronics
FLS,Diamond bottom,1,01/27/2020,02/12/2020,Machinery
FORM,"Double Bottom, Adam and Eve",1,01/31/2020,02/10/2020,Semiconductor
FDP,Pipe bottom,1,01/27/2020,02/03/2020,Food Processing
GD,Pipe bottom,1,01/27/2020,02/03/2020,Aerospace/Defense
HON,Diamond bottom,1,01/27/2020,02/10/2020,Aerospace/Defense
IDXX,Diamond bottom,1,01/27/2020,02/10/2020,Drug
NSP,Dead-cat bounce,-1,02/12/2020,02/12/2020,Human Resources
ISRG,Pipe bottom,1,01/27/2020,02/03/2020,Medical Supplies
KELYA,"Double Bottom, Eve and Eve",1,02/03/2020,02/10/2020,Human Resources
LAWS,"Double Bottom, Adam and Adam",1,01/31/2020,02/07/2020,Metal Fabricating
LOW,Broadening top,-1,12/16/2019,02/12/2020,Retail Building Supply
MRO,Head-and-shoulders top,-1,01/29/2020,02/12/2020,Petroleum (Integrated)
MCHX,Dead-cat bounce,-1,02/13/2020,02/13/2020,Advertising
MU,Pipe bottom,1,01/27/2020,02/03/2020,Semiconductor
MYGN,Dead-cat bounce,-1,02/07/2020,02/07/2020,Biotechnology
NVDA,Pipe bottom,1,01/27/2020,02/03/2020,Semiconductor
OLN,Pipe bottom,1,01/27/2020,02/03/2020,Chemical (Basic)
OMC,"Double Bottom, Eve and Adam",1,01/30/2020,02/07/2020,Advertising
STMP,Pipe bottom,1,01/27/2020,02/03/2020,Internet
SXI,"Double Bottom, Adam and Adam",1,02/04/2020,02/07/2020,Diversified Co.
SSYS,"Double Bottom, Adam and Adam",1,01/31/2020,02/10/2020,Electronics
TER,Pipe bottom,1,01/27/2020,02/03/2020,Semiconductor Cap Equip.
WLK,Pipe bottom,1,01/27/2020,02/03/2020,Chemical (Basic)
XLNX,"Double Bottom, Adam and Adam",1,02/03/2020,02/10/2020,Semiconductor Cap Equip.
QTEC,Pipe bottom,1,01/27/2020,02/03/2020,Electronics
AFL,"Broadening top, right-angled and descending",1,12/27/2019,02/06/2020,Insurance (Diversified)
AEO,Broadening bottom,1,01/21/2020,02/06/2020,Apparel
AMAT,Broadening top,-1,12/19/2019,02/06/2020,Semiconductor Cap Equip.
ATR,"Broadening wedge, ascending",-1,11/22/2019,02/06/2020,Packaging and Container
CX,Diamond top,-1,01/21/2020,02/06/2020,Cement and Aggregates
CF,"Double Bottom, Adam and Adam",1,01/28/2020,02/03/2020,Chemical (Basic)
CTSH,Broadening top,-1,01/17/2020,02/03/2020,IT Services
CMCO,"Broadening wedge, descending",1,01/02/2020,02/06/2020,Machinery
RE,Broadening top,-1,12/30/2019,02/06/2020,Insurance (Prop/Casualty)
EZPW,Dead-cat bounce,-1,02/04/2020,02/04/2020,Financial Services
GPS,"Double Bottom, Adam and Adam",1,01/27/2020,01/31/2020,Apparel
HOV,Pipe top,-1,01/21/2020,01/27/2020,Homebuilding
KALU,"Double Bottom, Eve and Adam",1,01/23/2020,01/31/2020,Metals and Mining (Div.)
K,Head-and-shoulders top,-1,01/07/2020,02/04/2020,Food Processing
MHO,Pipe top,-1,01/21/2020,01/27/2020,Homebuilding
MRTN,Pipe bottom,1,01/21/2020,01/27/2020,Trucking/Transp. Leasing
MAS,"Double Bottom, Adam and Eve",1,01/27/2020,01/31/2020,Building Materials
MTRX,Dead-cat bounce,-1,02/06/2020,02/06/2020,Oilfield Svcs/Equipment
PCG,"Flag, high and tight",1,12/03/2019,02/05/2020,Electric Utility (West)
SCCO,"Double Bottom, Adam and Adam",1,01/28/2020,01/31/2020,Metals and Mining (Div.)
SLCA,"Double Bottom, Adam and Adam",1,01/27/2020,02/04/2020,Metals and Mining (Div.)
VAL,Pipe bottom,1,01/21/2020,01/27/2020,Oilfield Svcs/Equipment
DDD,"Double Bottom, Adam and Adam",1,03/17/2020,03/23/2020,Electronics
AYI,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Furn/Home Furnishings
APD,"Double Bottom, Adam and Adam",1,03/16/2020,03/23/2020,Chemical (Diversified)
AEL,"Flag, high and tight",1,03/19/2020,03/26/2020,Insurance (Life)
